,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24,Total_Importance
Sin_Year,46.23544,42.045643,41.029602,37.87202,36.372208,40.027637,47.96228,71.09961,84.14096,96.854935,102.459625,93.21399,112.82701,127.81906,142.99266,149.94493,142.30772,113.23195,69.790726,48.58976,45.23713,44.423832,46.3181,47.636177,1830.4332
PCA_Temp_Lag1,25.80308,23.906216,43.31687,16.144243,34.848164,35.450676,48.51257,69.00069,98.417595,115.488014,123.93377,119.71064,146.69838,162.07048,197.635,66.94365,112.769325,56.06754,53.869816,47.697678,26.987732,25.487665,32.43978,26.472061,1709.6715
Is_Weekend,2.0647385,4.716412,11.089507,22.464556,49.552967,89.72006,120.91458,128.8335,118.35618,108.29512,103.18895,104.56817,106.44736,109.383255,96.86944,77.92152,67.5429,57.687393,50.68133,44.229668,36.073845,26.889654,19.94941,16.875885,1574.3163
PCA_Temp,30.871033,40.92656,33.943996,51.885303,28.073498,22.539822,16.114355,10.957861,10.050502,9.71162,32.35814,59.938267,67.432465,71.96018,53.567913,104.48903,77.09525,81.6995,90.13878,83.81335,72.0418,71.169876,49.1869,35.81525,1205.7814
CDD,35.66659,21.616966,11.832372,14.407751,13.159459,7.8826365,7.081727,2.9828393,6.0419927,5.143111,11.63475,38.194096,39.562252,47.03293,47.084347,123.97015,65.845764,73.136406,37.51794,37.22197,59.420765,40.806347,36.53409,43.692257,827.4695
PCA_GHI,0.0,0.0,0.0,0.0,0.0,3.5931373,42.3703,66.66994,103.942566,107.311844,90.28086,67.17028,59.06239,76.70398,45.364056,41.207504,32.74237,20.40071,13.877841,2.3798459,0.0,0.0,0.0,0.0,773.07764
Cos_Year,16.25477,13.622581,10.635353,6.675479,7.929446,10.351244,10.919143,11.338015,19.684778,43.239456,56.30803,50.17375,54.05001,56.60845,46.118603,33.697124,20.006142,33.923107,32.427105,23.884924,23.1035,26.986223,21.7095,15.211286,644.85803
PCA_GHI_Lag1,0.0,0.0,0.0,0.0,0.0,0.0,0.83528084,12.355802,15.436551,25.830948,40.703434,57.772125,56.596485,23.5634,43.559658,28.015505,14.569959,13.125754,9.403966,13.849339,4.322439,0.0,0.0,0.0,359.94064
HDD,10.874114,10.762872,5.0771475,5.951235,8.780684,13.163312,9.297633,14.465346,11.946933,6.0676436,6.2088737,1.9979143,1.1258031,0.8920538,1.6487421,1.5326759,1.289923,2.2154977,2.404941,4.2926273,7.039266,2.5857623,4.9924564,6.8943596,141.50783
Month_12,12.341845,10.234741,7.638062,6.4572983,2.382237,0.53022355,0.21563555,0.053808965,0.40300736,0.20408994,0.11154849,0.3625478,0.5631302,0.32004288,0.03850951,0.0,2.027065,7.0227065,4.56478,10.334216,13.880836,11.245139,14.771928,13.152007,118.85541
