Model_Config,Model_Type,Num_Features,Y1_Y2_R2,Y1_Y2_RMSE,Y1_Y2_MAPE,Y1_Y2_sMAPE,Y2_Y1_R2,Y2_Y1_RMSE,Y2_Y1_MAPE,Y2_Y1_sMAPE,Both_R2,Both_RMSE,Both_MAPE,Both_sMAPE,Year3_R2,Year3_RMSE,Year3_MAPE,Year3_sMAPE
24-Model Baseline,hourly,16,0.85,159.7,5.43,5.44,0.85,180.6,5.67,5.64,0.67,257.87,6.87,7.21,0.8699,173.98,5.46,5.54
24-Model Lag1 (Paper Final),hourly,18,0.84,160.61,5.43,5.46,0.85,177.64,5.64,5.59,0.67,255.59,6.85,7.16,0.8746,170.84,5.38,5.46
24-Model Lag2,hourly,18,0.85,157.86,5.35,5.38,0.85,179.2,5.68,5.63,0.68,253.64,6.79,7.1,0.8768,169.33,5.36,5.43
24-Model Lead1,hourly,18,0.84,161.32,5.44,5.47,0.86,176.83,5.62,5.58,0.68,254.53,6.79,7.1,0.8692,174.43,5.44,5.51
24-Model Lag1 + Fourier,hourly,22,0.84,162.36,5.58,5.59,0.84,186.09,5.75,5.73,0.69,251.05,6.82,7.05,0.8883,161.22,5.16,5.25
24-Model Lag1 + Fourier + HDD/CDD,hourly,24,0.84,161.94,5.55,5.57,0.84,186.23,5.75,5.73,0.69,251.08,6.81,7.04,0.8889,160.8,5.14,5.22
Single-Model Baseline,single,17,0.85,157.06,5.39,5.41,0.84,186.71,5.77,5.74,0.67,256.78,6.83,7.18,0.887,162.17,5.27,5.35
Single-Model Lag1,single,19,0.86,153.85,5.3,5.33,0.85,179.03,5.51,5.48,0.68,254.19,6.8,7.14,0.8916,158.81,5.24,5.33
Single-Model Lag1 + Fourier,single,23,0.83,169.99,5.8,5.8,0.82,197.3,6.02,6.01,0.59,287.36,7.62,7.95,0.8857,163.09,5.36,5.45
Single-Model Lag1 + Fourier + HDD/CDD,single,25,0.83,169.31,5.76,5.77,0.83,194.34,5.97,5.96,0.6,282.54,7.51,7.81,0.8779,168.55,5.5,5.59
