Model_Config,Y1_Y2_R2,Y1_Y2_RMSE,Y1_Y2_MAPE,Y1_Y2_sMAPE,Y2_Y1_R2,Y2_Y1_RMSE,Y2_Y1_MAPE,Y2_Y1_sMAPE,Both_R2,Both_RMSE,Both_MAPE,Both_sMAPE
Baseline,0.84,160.16,5.43,5.44,0.85,178.01,5.61,5.57,0.67,257.87,6.87,7.21
Lag1,0.84,160.48,5.42,5.44,0.85,178.6,5.66,5.61,0.67,255.59,6.85,7.16
Lag2,0.85,158.94,5.35,5.39,0.85,179.69,5.69,5.63,0.68,253.64,6.79,7.1
Lead1,0.84,161.12,5.38,5.4,0.85,178.75,5.63,5.59,0.68,254.53,6.79,7.1
Lag5,0.86,149.89,5.15,5.2,0.87,168.76,5.6,5.51,0.69,250.2,6.67,7.0
Lag1+Lead1,0.85,159.6,5.35,5.38,0.85,179.97,5.66,5.61,0.68,253.2,6.75,7.06
Lag3,0.85,155.36,5.27,5.3,0.86,177.25,5.67,5.6,0.68,251.5,6.72,7.04
Lag2+Lead2,0.85,157.7,5.31,5.35,0.85,177.9,5.63,5.57,0.69,251.17,6.69,7.01
Lead2,0.84,160.85,5.41,5.43,0.85,177.52,5.64,5.59,0.68,255.14,6.83,7.15
Lag3+Lead2,0.85,155.28,5.26,5.3,0.86,175.38,5.62,5.55,0.69,250.04,6.65,6.98
Lag5+Lead2,0.87,149.02,5.12,5.18,0.87,169.19,5.59,5.49,0.69,247.65,6.57,6.91
